movie_tip,movie_grade,movie_desc,movie_name,comment_num
你是我最好的朋友，你是我唯一的朋友 。,8.9,导演:亚当·艾略特AdamElliot主演:托妮·科莱特ToniCollette/菲利...,玛丽和马克思/MaryandMax/巧克力情缘(台)/同是天涯寂寞客,250176
人生中应该拥有这样的一段豁然开朗。,8.8,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon/罗宾·...,心灵捕手/GoodWillHunting/骄阳似我(港)/心灵捕手,307081
一场华丽的意淫。,8.8,导演:姜文WenJiang主演:夏雨YuXia/宁静JingNing/陶虹HongTao,阳光灿烂的日子/IntheHeatoftheSun,306369
人与自然的战争史诗。,8.8,导演:宫崎骏HayaoMiyazaki主演:松田洋治YôjiMatsuda/石田百合...,幽灵公主/もののけ姫/魔法公主/幽灵少女,262892
深入内心的恐怖，出人意料的结局。,8.8,导演:M·奈特·沙马兰M.NightShyamalan主演:布鲁斯·威利斯BruceWi...,第六感/TheSixthSense/灵异第六感/鬼眼,261481
小清新的故事里注入了大历史的情怀。,8.8,导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes/...,布达佩斯大饭店/TheGrandBudapestHotel/布达佩斯大酒店(港)/欢迎来到布达佩斯大饭店(台),364634
寂寞没有期限。,8.7,导演:王家卫KarWaiWong主演:林青霞BrigitteLin/金城武TakeshiK...,重庆森林/重慶森林/ChungkingExpress,373675
童话世界的开端。,8.7,导演:ChrisColumbus主演:DanielRadcliffe/EmmaWatson/RupertGrint,哈利·波特与魔法石/HarryPotterandtheSorcerer'sStone/哈利波特1：神秘的魔法石(港/台),300991
昔日翩翩少年，今日大腹便便。,8.7,导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,禁闭岛/ShutterIsland/不赦岛(港)/隔离岛(台),405574
人言可畏。,9.0,导演:托马斯·温特伯格ThomasVinterberg主演:麦斯·米科尔森MadsMik...,狩猎/Jagten/谎言的烙印(台)/诬网(港),149867
骗子大师和执著警探的你追我跑故事。,8.8,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...,猫鼠游戏/CatchMeIfYouCan/逍遥法外/神鬼交锋(台),265877
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.7,导演:蒂姆·波顿TimBurton主演:伊万·麦克格雷格EwanMcGregor/阿...,大鱼/BigFish/大鱼奇缘(港)/大智若鱼(台),280702
最不可能的那个人永远是最可能的。,8.7,导演:JamesMangold主演:JohnCusack/RayLiotta/AmandaPeet,致命ID/Identity/杀人游戏/致命身份,357132
每个人心中都有一座断背山。,8.7,导演:李安AngLee主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...,断背山/BrokebackMountain/断臂山/BBM,356775
相逢只要一瞬间，等待却像是一辈子。,8.8,导演:陈可辛PeterChan主演:黎明LeonLai/张曼玉MaggieCheung/...,甜蜜蜜/Comrades:AlmostaLoveStory,255849
百看不厌。,8.7,导演:刘镇伟JeffreyLau主演:梁朝伟TonyLeungChiuWai/林青霞Bri...,射雕英雄传之东成西就/射鵰英雄傳之東成西就/东成西就/大英雄(日本),306879
我们都曾经是一一。,8.9,导演:杨德昌EdwardYang主演:吴念真/李凯莉KellyLee/金燕玲Elai...,一一/Yiyi/Yiyi:AOneandaTwo,172680
没有一人完全善，也没有一人完全恶。,8.7,导演:中岛哲也TetsuyaNakashima主演:松隆子TakakoMatsu/冈田将生...,告白/自白/母亲,379838
约翰尼·德普的独角戏。,8.6,导演:戈尔·维宾斯基GoreVerbinski主演:约翰尼·德普JohnnyDepp/...,加勒比海盗/PiratesoftheCaribbean:TheCurseoftheBlackPearl/加勒比海盗1：黑珍珠号的诅咒/神鬼奇航：鬼盗船魔咒(台),387923
再多各自牛逼的时光，也比不上一起傻逼的岁月。,8.8,导演:姜炯哲Hyeong-CheolKang主演:沈恩京Eun-kyungShim/闵孝琳Hy...,阳光姐妹淘/써니/阳光姊妹淘(港)/桑尼,299541
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,8.9,导演:马克·赫门MarkHerman主演:阿沙·巴特菲尔德AsaButterfield/...,穿条纹睡衣的男孩/TheBoyintheStripedPajamas/穿条纹衣服的男孩/穿条纹衣的男孩,171888
大时代中的人生，小人物的悲喜。,9.2,导演:查理·卓别林CharlesChaplin主演:查理·卓别林CharlesChaplin...,"摩登时代/ModernTimes/TheMasses/Tempsmodernes,Les",102313
绝对意义上的美轮美奂。,8.6,导演:詹姆斯·卡梅隆JamesCameron主演:萨姆·沃辛顿SamWorthington...,阿凡达/Avatar/天神下凡(港)/化身,586004
被上帝抛弃了的上帝之城。,8.9,导演:KátiaLund/FernandoMeirelles主演:AlexandreRodrigues/Lea...,上帝之城/CidadedeDeus/无主之城(港)/无法无天(台),171153
缘分是个连绵词，最美不过一瞬。,8.7,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...,爱在黎明破晓前/BeforeSunrise/情留半天(港)/爱在黎明破晓时(台),247375
年度最佳date movie。,8.7,导演:大卫·芬奇DavidFincher主演:本·阿弗莱克BenAffleck/罗莎蒙...,消失的爱人/GoneGirl/失踪的女孩/失踪女孩,401252
动画片的圣经。,8.8,导演:宫崎骏HayaoMiyazaki主演:岛本须美SumiShimamoto/松田洋治Y...,风之谷/風の谷のナウシカ/风谷少女/KazenotaninoNaushika,195073
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.7,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...,爱在日落黄昏时/BeforeSunset/日落巴黎(港)/爱在日落巴黎时(台),220160
少女情怀总是诗。,8.8,导演:近藤喜文YoshifumiKondo主演:本名阳子YoukoHonna/小林桂树K...,侧耳倾听/耳をすませば/心之谷/梦幻街少女,189809
穷尽一生，我们要学会的，不过是彼此拥抱。,8.8,导演:托尼·凯耶TonyKaye主演:艾德里安·布洛迪AdrienBrody/马西...,超脱/Detachment/人间师格(台),195665
梦的勾结。,8.9,导演:今敏SatoshiKon主演:林原惠美MegumiHayashibara/古谷彻T...,红辣椒/パプリカ/盗梦侦探/帕布莉卡,153435
